clid	venue	lon	lat	cat	user	year	doy	dow	hour	txt
5	CCAC Allegheny Campus	-80.0130	40.4493	NA	ReedySplash	2014	181	1	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0130	40.4493	NA	pure_wings	2015	33	1	22	I'm at CCAC Allegheny Campus in Pittsburgh, PA
5	Heinz Feild	-80.0151	40.4475	NA	01sweetworld	2015	182	3	6	Just posted a photo Heinz Feild
5	K. Leroy Irvis Science Center	-80.0153	40.4493	NA	philsy28	2014	28	2	17	I'm at K. Leroy Irvis Science Center (Pittsburgh, PA)
5	K. Leroy Irvis Science Center	-80.0153	40.4493	NA	philsy28	2014	51	4	18	I'm at K. Leroy Irvis Science Center (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0141	40.4498	NA	baby_sirens	2015	282	5	3	I'm at CCAC Allegheny Campus in Pittsburgh, PA
5	Starbucks	-80.0155	40.4503	NA	H0tNFun	2015	269	6	19	I'm at Starbucks in Pittsburgh, PA
5	Taylor Swift Concert	-80.0157	40.4465	NA	kristen_morello	2015	158	0	0	Just posted a photo Taylor Swift Concert
5	Heinz Stadium Gold Lot 1	-80.0127	40.4473	NA	wendymo6	2015	275	5	0	Just posted a photo Heinz Stadium Gold Lot 1
5	Living the suite life	-80.0130	40.4482	NA	kaytee_oliver	2014	363	1	0	Just posted a photo Living the suite life
5	Nina And The Pinta	-80.0118	40.4459	NA	mirv_ana	2015	282	5	20	I'm at Nina And The Pinta
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	112	2	14	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	114	4	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	119	2	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	120	3	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	121	4	14	I'm at CCAC Allegheny Campus (Pittsburgh, PA) w/ 2 others
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	125	1	19	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0135	40.4495	NA	philsy28	2014	127	3	20	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	North Shore Riverfront Park and Trail	-80.0090	40.4465	NA	blainehugs	2015	269	6	19	Just posted a photo North Shore Riverfront Park and Trail
5	Heniz Feild	-80.0166	40.4470	NA	SamBarall	2015	263	0	22	Just posted a photo Heniz Feild
5	Mr. Rogers Memorial	-80.0121	40.4456	NA	BCardis1	2015	271	1	11	Just posted a photo Mr. Rogers Memorial
5	North Shore	-80.0123	40.4480	NA	shannonleigh11	2015	234	6	19	I'm at North Shore in Pittsburgh, PA
5	Port Authority North Side Station	-80.0095	40.4480	NA	jlppimb	2014	294	2	4	I'm at Port Authority North Side Station - in Pittsburgh, PA
5	Port Authority North Side Station	-80.0095	40.4480	NA	jlppimb	2015	274	4	20	I'm at Port Authority North Side Station - in Pittsburgh, PA
5	BestConcertEver	-80.0189	40.4477	NA	Jos_Makaylax3	2015	158	0	3	Just posted a photo BestConcertEver
5	North Shore Riverfront Park and Trail	-80.0094	40.4464	NA	OHHEY_ITSANNE	2015	17	6	17	Just posted a photo North Shore Riverfront Park and Trail
5	North Shore Riverfront Park and Trail	-80.0120	40.4453	NA	worldfamouswrap	2014	207	6	19	Just posted a photo North Shore Riverfront Park and Trail
5	North Shore Riverfront Park and Trail	-80.0120	40.4453	NA	JoshLouie	2014	248	5	0	Just posted a photo North Shore Riverfront Park and Trail
5	North Shore Riverfront Park and Trail	-80.0120	40.4453	NA	JoshLouie	2014	289	4	22	Just posted a photo North Shore Riverfront Park and Trail
5	Downtown/ Northshore	-80.0131	40.4450	NA	01sweetworld	2015	182	3	4	Just posted a photo Downtown/ Northshore
5	North Shore	-80.0090	40.4470	NA	_YoureOnTV	2015	250	1	1	Just posted a photo North Shore (Pittsburgh)
