clid	venue	lon	lat	cat	user	checkin
1	Popeyes Louisiana Kitchen	-79.9583	40.4418	Food	3	3
1	Bangal Kabab House & Restaurant	-79.9554	40.4392	Food	1	2
1	Katie's Kandy	-79.9586	40.4408	Food	1	1
1	Asia Tea House	-79.9529	40.4427	Food	3	3
1	Old Engineering Hall	-79.9580	40.4448	College & University	1	1
1	UPMC Presby Helipad	-79.9605	40.4415	Professional & Other Places	1	1
1	Snow Lion Imports	-79.9488	40.4463	Shop & Service	1	1
1	Carnegie Mellon University of Pittsburgh	-79.9553	40.4432	College & University	11	11
1	Bus Stop Fifth & Craig	-79.9492	40.4471	Travel & Transport	1	1
1	Fairfax Apartments	-79.9484	40.4467	Residence	2	2
1	Dippy the Dinosaur	-79.9518	40.4434	Arts & Entertainment	1	1
1	UPMC Eye Center	-79.9610	40.4418	Professional & Other Places	1	1
1	Pitt's Dogg'n It	-79.9561	40.4397	Shop & Service	1	1
1	Sushi Fuku	-79.9486	40.4446	Food	1	1
1	Prince of India Restaurant and Tavern	-79.9586	40.4417	Food	2	2
1	Bloodeagle Tattoo	-79.9491	40.4451	Shop & Service	1	1
1	Carnegie Lecture Hall	-79.9497	40.4423	Professional & Other Places	2	2
1	Bagels	-79.9546	40.4415	Food	1	1
1	Spice Island Tea House	-79.9563	40.4400	Food	1	1
1	Forbes Gyro	-79.9570	40.4415	Food	1	1
1	Melwood Screening Room	-79.9537	40.4546	Arts & Entertainment	1	1
1	Phantom of the Attic : Comics	-79.9486	40.4449	Shop & Service	2	4
1	UPMC Montefiore	-79.9620	40.4411	Professional & Other Places	3	12
1	Ali Baba	-79.9488	40.4452	Food	4	4
1	Kaufmann Medical Bldg.	-79.9606	40.4404	Professional & Other Places	2	3
1	Dave and Andy's Ice Cream	-79.9574	40.4409	Food	2	2
1	Salk Hall	-79.9629	40.4427	College & University	1	10
1	CVS	-79.9600	40.4393	Shop & Service	2	2
1	Cathedral of Learning	-79.9532	40.4443	College & University	15	30
1	Greek Festival	-79.9499	40.4444	Professional & Other Places	1	1
