clid	venue	lon	lat	cat	user	checkin
0	An SAP Company	-79.9998	40.4420	NA	1	2
0	Fairmont Pittsburgh Hotel	-80.0020	40.4414	NA	69	90
0	U.S. Steel Tower	-79.9954	40.4406	NA	1	1
0	1 PNC Plaza	-80.0000	40.4411	NA	2	3
0	Bruegger's Bagel Bakery	-80.0029	40.4411	NA	2	2
0	Heinz Hall	-80.0019	40.4426	NA	5	5
0	David L Lawrence Convention Center Garage	-79.9950	40.4445	NA	1	1
0	Gateway Eye Associates	-80.0040	40.4419	NA	1	1
0	Pride	-79.9963	40.4434	NA	1	1
0	Downtown Pittsburgh EMS Medic 5	-79.9976	40.4410	NA	8	15
0	Alihan's Mediterranean Cuisine	-80.0024	40.4431	NA	4	5
0	The Art Institute of Pittsburgh	-79.9995	40.4376	NA	1	1
0	Neighborhood Allies	-79.9968	40.4368	NA	1	1
0	Downtown Pgh	-79.9977	40.4414	NA	1	1
0	Passive Park	-79.9982	40.4363	NA	2	2
0	Subway	-79.9967	40.4442	NA	5	12
0	Jun Sushi	-80.0022	40.4413	NA	1	1
0	David L. Lawrence Convention Center	-79.9969	40.4457	NA	20	22
0	2014	-79.9955	40.4443	NA	13	13
0	S. W. Randall Toyes & Giftes	-79.9973	40.4420	NA	3	3
0	Penn Garrison	-79.9975	40.4443	NA	1	2
0	Courtyard By Marriot Valet Parking Lot	-79.9954	40.4449	NA	1	9
0	Renaissance Pittsburgh Hotel	-80.0023	40.4438	NA	10	12
0	Pittsburgh CAPA High School	-79.9985	40.4446	NA	11	15
0	Mon Wharf	-80.0043	40.4375	NA	1	1
0	Hot Mass	-79.9929	40.4457	NA	2	3
0	Amtrak: Pittsburgh Winter Beerfest	-79.9916	40.4458	NA	4	4
0	HealthQuest Chiropractic	-80.0013	40.4420	NA	1	1
0	Sonoma Grille	-79.9962	40.4442	NA	11	16
0	Jail Trail	-79.9983	40.4361	NA	1	1
0	Hotel Monaco Pittsburgh	-79.9966	40.4414	NA	76	101
0	The Point State Park	-80.0070	40.4412	NA	7	9
0	Mellon Square	-79.9974	40.4408	NA	5	6
0	Byham Theater	-80.0025	40.4439	NA	8	8
0	Franktuary	-79.9990	40.4411	NA	2	3
0	Seviche	-79.9969	40.4439	NA	1	1
0	Pizza Parma	-79.9984	40.4438	NA	2	2
0	Bus Stop At Stanwix & 4th Ave	-80.0045	40.4403	NA	1	1
0	Brown Bag Deli	-79.9943	40.4441	NA	2	2
0	New City Church	-79.9999	40.4397	NA	1	1
0	Il Pizzaiolo	-80.0025	40.4408	NA	9	9
0	Mahoneys	-79.9962	40.4432	NA	1	1
0	Patronato Italuil	-80.0042	40.4381	NA	1	1
0	Gay Pride Parade Route	-80.0017	40.4416	NA	1	1
0	Fifth Avenue Place	-80.0031	40.4417	NA	3	3
0	Bigelow Grille	-79.9947	40.4406	NA	6	7
0	Blush	-79.9984	40.4441	NA	1	1
0	2 PNC Plaza	-80.0006	40.4417	NA	2	2
0	Awesome Books	-79.9968	40.4430	NA	1	2
0	Katz Plaza	-80.0004	40.4432	NA	1	1
0	Allegheny County Courthouse	-79.9962	40.4385	NA	1	1
0	Fifth Avenue Place	-80.0035	40.4419	NA	4	4
0	Ninth And Penn Garage	-79.9986	40.4441	NA	1	2
0	Downtown Pittsburgh PA On 376 W	-79.9986	40.4368	NA	3	3
0	Gateway Station	-80.0043	40.4417	NA	1	2
0	William S. Moorhead Federal Building	-79.9943	40.4436	NA	3	3
0	Flag Plaza and Pittsburgh Scout Center	-79.9905	40.4433	NA	3	3
0	Maury's Pad	-80.0024	40.4408	NA	2	5
0	Bravo Franco Ristorante	-80.0018	40.4428	NA	1	1
0	Cherries Diner	-80.0023	40.4407	NA	2	2
0	The Terrace Room	-79.9974	40.4411	NA	1	1
0	Anthrocon 2015	-79.9956	40.4447	NA	1	1
0	Arby's	-79.9987	40.4427	NA	1	1
0	Buchanan Ingersoll	-79.9990	40.4377	NA	1	1
0	The Verve 360	-80.0024	40.4431	NA	1	1
0	Gold's Gym	-80.0040	40.4413	NA	2	5
0	Station to Station/Art Train at Pittsburgh's Union Station	-79.9923	40.4437	NA	1	1
0	pittsburgh	-79.9975	40.4454	NA	1	1
0	Biergarten	-79.9955	40.4422	NA	1	1
0	Veterans Bridge	-79.9935	40.4498	NA	1	2
0	2014	-79.9965	40.4454	NA	2	2
0	7th & Liberty	-79.9996	40.4422	NA	1	1
0	picklesburgh	-79.9990	40.4464	NA	1	1
0	Hanlon's Cafe	-79.9956	40.4434	NA	7	10
0	Biergarten at the Hotel Monaco	-79.9962	40.4415	NA	9	9
0	Madonna's Restaurant	-79.9993	40.4390	NA	1	1
0	Federated Investors	-79.9945	40.4449	NA	1	4
0	Downtown Pittsburgh	-79.9975	40.4418	NA	5	11
0	Simpatico Espresso	-79.9970	40.4412	NA	1	1
0	Au Bon Pain	-79.9955	40.4426	NA	1	2
0	Moe's Southwest Grill	-80.0022	40.4405	NA	1	3
0	Mike and Tony's Gyros	-79.9967	40.4430	NA	1	1
0	Primanti Brothers	-80.0027	40.4403	NA	41	43
0	19L	-79.9964	40.4394	NA	1	1
0	Golden Palace Buffet	-79.9970	40.4427	NA	2	2
0	The Westin Hotel	-79.9953	40.4440	NA	1	1
0	by Hilton Hotel & Suites Pittsburgh Downtown	-79.9943	40.4405	NA	1	1
0	Gallery Crawl-Pittsburgh Cultural Trust	-79.9988	40.4429	NA	1	1
0	Doubleday's Famous Burgers	-80.0025	40.4434	NA	3	7
0	Nicky's Thai Kitchen	-79.9984	40.4437	NA	18	20
0	Downtown Pittsburgh	-79.9992	40.4419	NA	3	3
0	Cabaret Theater at Theater Square	-80.0013	40.4430	NA	2	2
