,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
115,23,-3.179,2.443,2.689,12,-3.069,1.221,0.000,21,1.073,2.443,1.221,2,0.000,0.000,0.000
116,15,1.737,2.689,2.443,12,-4.230,0.000,0.000,15,7.344,6.107,0.000,0,0.000,0.000,0.000
117,16,-4.880,1.221,3.664,10,-1.856,0.000,0.000,10,2.551,2.443,0.000,2,-0.000,0.000,0.000
118,14,-3.726,0.549,1.221,14,-5.220,0.000,0.000,19,2.762,1.770,0.000,9,0.983,0.000,0.000
119,18,8.168,4.886,1.221,13,-0.667,0.000,0.000,24,6.091,6.107,1.221,3,0.000,0.000,0.000
120,16,9.058,3.664,0.000,13,-1.981,0.000,0.000,18,-1.357,1.881,2.443,14,0.004,0.000,0.000
121,32,5.321,4.213,1.221,16,-3.723,0.000,0.000,16,5.012,2.443,0.000,12,-0.000,0.000,0.000
122,18,-0.744,2.992,2.443,15,-3.821,0.000,0.000,20,5.720,3.664,0.000,16,-3.279,0.000,1.221
123,12,-0.546,0.000,0.000,11,-1.908,0.000,0.000,18,0.385,0.247,0.000,14,-0.707,0.000,0.000
124,7,0.721,1.468,1.221,8,-1.692,0.000,0.000,11,1.583,2.690,1.221,7,-0.025,0.000,0.000
125,12,-7.870,1.221,4.886,15,-3.018,0.000,0.000,6,4.355,1.221,0.000,4,0.000,0.000,0.000
126,4,5.433,2.443,0.000,10,-1.391,0.000,0.000,10,1.427,1.221,1.221,4,-0.000,0.000,0.000
127,0,0.000,0.000,0.000,7,-0.822,0.000,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000
128,1,-0.447,0.000,0.000,12,-0.597,0.000,0.000,2,-0.284,0.000,0.000,2,0.000,0.000,0.000
129,2,1.648,1.221,1.221,9,-1.130,0.000,0.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000
130,4,-0.388,0.000,0.247,9,-2.179,0.000,0.000,1,0.066,0.000,0.000,1,-0.000,0.000,0.000
131,12,1.929,3.664,1.221,10,-1.132,0.000,0.000,6,7.585,4.213,0.000,6,0.000,0.000,0.000
132,25,3.236,3.664,0.666,14,-2.921,0.000,0.000,9,4.834,3.664,1.221,2,0.000,0.000,0.000
133,19,-0.243,0.000,1.225,11,-2.783,0.000,0.000,5,2.987,2.443,0.000,2,-0.000,0.000,0.000
