,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
42,310,-16.510,16.172,10.394,269,13.042,23.111,14.393,125,12.938,8.375,4.104,94,2.317,6.373,4.368,48,7.785,5.000,2.368,46,5.368,4.000,0.000,33,-3.409,2.018,3.549,29,-3.416,2.000,1.368,10,4.009,2.000,0.000,18,0.628,1.000,1.000,15,-5.640,0.000,3.670,33,-1.557,2.639,2.000,8,-0.430,0.000,1.000,18,-0.000,0.000,0.000,9,2.930,2.000,0.000,8,-2.062,0.000,0.000
43,351,-0.307,18.349,14.224,294,7.979,25.494,17.190,88,-4.061,4.038,4.019,85,-11.366,2.051,4.639,53,-2.948,4.018,5.000,58,1.042,3.000,2.000,51,-7.191,4.386,8.004,22,-1.392,1.000,1.000,24,-8.286,1.000,3.000,27,3.881,4.000,1.639,21,1.765,1.202,0.000,17,-1.387,1.050,1.368,6,0.373,0.000,0.000,24,0.454,0.000,0.000,8,0.128,1.000,1.000,12,0.181,1.000,0.000
44,313,3.223,15.389,12.513,270,5.581,25.176,21.159,90,2.688,9.782,6.000,60,4.952,4.370,4.368,67,4.307,8.503,4.000,43,5.070,5.135,4.000,50,-1.901,5.000,4.004,30,5.726,4.135,2.000,29,0.916,1.000,0.000,26,-1.314,1.000,2.000,15,0.758,0.553,0.000,19,2.245,1.050,0.000,2,-0.142,0.000,0.000,28,2.375,0.000,0.000,6,3.991,2.000,0.000,19,-4.596,0.000,0.000
45,301,8.240,21.523,14.058,273,6.181,23.633,16.905,124,8.842,12.386,4.009,75,-0.521,4.274,4.019,78,8.071,10.418,3.000,57,3.940,7.000,3.000,46,13.518,9.000,1.004,55,0.834,5.135,2.025,25,-5.281,0.000,3.000,27,-0.285,4.135,3.000,28,-3.815,0.000,1.671,19,4.779,4.002,2.000,2,-0.000,0.000,0.000,20,2.201,1.000,0.000,17,6.745,4.000,1.000,18,-3.617,0.000,0.000
46,273,17.295,20.105,8.424,287,5.634,18.241,15.105,98,13.905,11.277,4.136,96,4.664,15.375,8.553,140,28.541,19.601,2.000,53,5.013,5.000,2.000,61,-2.731,3.000,5.004,33,5.722,4.000,0.405,58,-5.285,1.000,3.000,40,4.741,4.005,1.018,14,3.100,2.000,0.000,18,0.136,2.135,1.000,3,-0.000,0.000,0.000,11,-0.000,0.000,0.000,5,1.395,1.000,0.000,15,-2.800,0.000,0.000
47,289,-3.729,22.154,16.260,264,-9.299,18.766,19.003,152,29.636,23.763,6.018,163,24.454,23.007,7.908,187,28.367,26.375,8.000,53,6.880,8.000,1.000,86,-10.882,5.000,8.553,31,4.337,4.135,1.368,51,-5.448,1.000,2.000,44,3.570,6.381,4.386,26,-3.492,0.000,3.000,22,2.342,1.000,1.000,13,0.437,1.000,1.000,5,-4.166,0.000,2.000,17,2.893,3.418,1.000,13,-1.172,0.000,0.000
48,271,4.475,13.142,6.100,326,15.200,28.199,16.882,159,15.572,18.738,5.138,182,25.017,21.328,6.647,147,-9.002,9.510,7.639,77,-0.819,3.000,3.000,65,6.266,8.368,4.004,32,-0.905,1.018,1.000,50,-0.765,2.000,2.000,56,-0.660,3.368,3.368,42,-2.971,2.202,1.001,16,1.012,3.018,3.000,15,-2.953,1.000,2.000,10,-0.568,0.000,0.000,7,3.901,2.000,0.000,10,-2.631,0.000,0.000
49,308,2.889,13.769,8.001,326,20.581,27.791,12.420,179,4.302,11.506,9.372,178,-14.246,17.612,23.006,121,8.389,14.000,8.000,77,-4.835,6.104,7.000,65,0.902,10.375,6.000,19,8.311,5.000,1.000,67,-3.260,1.000,2.000,49,5.024,5.271,3.019,26,-2.324,1.074,4.000,12,-1.596,0.002,1.000,35,1.039,3.000,2.000,20,3.887,2.000,0.000,20,1.705,2.000,0.000,13,-4.655,1.000,2.000
50,338,-0.840,6.635,4.516,366,6.061,31.446,21.059,152,-8.219,5.138,10.014,161,13.833,21.882,11.745,100,5.955,7.472,6.000,57,7.950,8.000,2.000,85,-0.869,10.871,9.037,27,3.565,3.000,2.018,42,0.373,0.000,0.000,43,-2.108,3.135,3.000,40,-5.861,0.000,3.670,17,2.060,3.154,1.000,32,-4.240,0.000,2.000,60,6.284,4.000,2.000,12,1.380,3.000,2.000,9,-3.548,0.000,0.000
51,233,-16.631,3.334,8.419,299,-7.227,16.685,12.410,158,15.767,11.029,3.102,129,-0.549,8.757,9.695,41,7.851,5.000,0.000,46,0.954,5.000,3.000,56,-2.033,2.386,0.553,19,-8.199,2.000,7.000,59,-2.191,0.000,1.000,24,2.636,0.018,0.000,27,-3.849,0.000,2.000,12,-2.982,1.135,2.000,50,2.035,1.000,0.000,54,3.625,3.000,0.000,16,1.799,3.000,3.000,12,-1.409,2.000,0.000
