,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
127,3,-0.199,0,0,0,0.000,0,0,8,1.171,2,1,5,-4.947,0,2,0,0.000,0,0,0,0.000,0,0
128,2,-0.284,0,0,1,-0.366,0,0,2,-1.342,0,1,3,-0.760,0,0,6,-5.386,0,2,2,0.117,0,0
129,0,0.000,0,0,2,1.349,1,1,0,0.000,0,0,2,3.267,1,0,0,0.000,0,0,0,0.000,0,0
130,1,0.593,0,0,4,-1.413,0,1,0,0.000,0,0,4,4.314,2,0,1,-0.142,0,0,3,1.530,1,0
131,6,7.175,4,0,12,0.734,3,1,10,-2.085,0,1,2,0.898,1,0,0,0.000,0,0,1,0.383,0,0
132,9,4.675,3,1,25,-10.429,3,6,10,5.101,3,0,5,2.926,1,0,2,-0.284,0,0,3,-1.059,1,2
133,5,2.368,2,0,19,-3.107,1,4,22,15.846,8,0,7,-0.334,0,0,2,-2.901,0,1,0,0.000,0,0
134,10,5.733,4,1,31,0.152,5,2,29,1.215,5,2,4,-3.481,0,1,5,-7.525,0,3,3,-4.397,0,2
135,6,2.499,1,0,23,-4.477,2,4,56,9.028,9,5,17,-6.769,1,3,6,-2.406,1,2,9,-0.625,2,2
136,12,-2.015,2,2,15,3.393,3,1,56,9.976,10,4,8,-3.299,1,2,5,-2.973,0,1,6,-1.840,0,1
137,15,3.508,3,0,14,3.414,3,1,57,12.287,14,5,12,1.869,3,0,5,-1.584,0,0,1,0.959,0,0
138,18,0.145,2,2,16,-4.398,1,2,44,13.610,11,2,15,-6.486,1,3,8,-0.331,1,1,4,-0.516,0,0
139,8,0.275,0,1,14,3.475,3,0,49,6.779,9,5,7,2.644,2,0,4,-1.254,1,1,1,0.323,0,0
140,14,2.989,2,0,13,4.392,5,1,48,-0.743,2,4,8,-0.271,0,1,8,1.293,0,0,2,-0.860,0,1
141,14,-0.002,1,1,23,-5.003,2,4,38,3.212,5,1,5,-0.348,0,0,4,-0.476,0,1,8,-4.496,0,2
142,9,-3.804,1,3,23,0.786,4,2,52,7.792,6,3,9,-1.251,1,2,4,0.880,0,0,1,-0.142,0,0
143,10,2.609,2,0,30,15.318,6,0,46,5.594,8,5,8,-1.176,0,1,3,-0.426,0,0,1,-0.142,0,0
144,17,0.848,2,1,26,8.393,7,2,52,16.256,12,3,6,1.065,2,1,3,5.564,2,0,0,0.000,0,0
145,14,5.971,5,2,27,7.597,6,2,55,7.061,12,7,6,-1.289,0,0,13,-2.642,2,1,3,-2.109,0,1
146,14,-0.363,2,2,36,6.126,8,2,42,5.209,7,4,2,0.753,0,0,8,2.464,2,0,5,-3.655,1,3
147,7,2.730,3,1,31,1.711,5,5,45,3.664,8,5,4,0.043,0,0,6,-3.765,1,3,4,1.924,2,0
148,10,1.241,1,1,27,-1.489,4,4,49,0.379,5,3,7,1.616,1,0,12,-5.077,0,3,1,-0.142,0,0
149,7,4.928,3,0,10,6.241,4,1,35,-6.413,5,6,4,-4.119,0,1,6,-2.097,0,1,1,-0.142,0,0
150,9,1.716,3,2,9,5.859,3,0,12,8.521,5,0,7,-2.948,1,2,0,0.000,0,0,1,-0.142,0,0
151,6,-0.286,1,0,0,0.000,0,0,4,1.271,1,0,5,-1.073,1,1,0,0.000,0,0,3,-0.484,1,0
152,1,2.262,1,0,1,1.168,1,0,2,-0.284,0,0,5,-1.396,0,1,0,0.000,0,0,2,0.898,1,0
153,3,-0.426,0,0,1,1.175,1,0,2,-0.284,0,0,5,-0.139,2,1,0,0.000,0,0,0,0.000,0,0
154,1,-0.142,0,0,1,1.214,1,0,2,0.845,0,0,1,1.257,1,0,0,0.000,0,0,0,0.000,0,0
155,0,0.000,0,0,3,-1.527,0,1,3,0.483,0,0,1,-0.142,0,0,0,0.000,0,0,1,0.703,0,0
156,3,1.527,1,0,8,4.012,1,0,13,3.529,3,0,0,0.000,0,0,3,-1.957,0,1,1,-0.590,0,0
157,13,6.294,3,0,16,5.744,4,0,30,5.759,4,1,0,0.000,0,0,1,-1.282,0,1,0,0.000,0,0
158,11,1.899,2,1,19,5.087,3,2,50,13.749,11,2,3,-2.919,0,2,0,0.000,0,0,2,0.650,0,0
159,19,11.145,7,0,14,3.905,5,2,70,18.824,13,2,1,-0.142,0,0,1,-0.142,0,0,3,-1.044,0,0
160,25,-0.963,2,2,30,12.357,11,0,71,11.022,12,4,0,0.000,0,0,10,-1.376,0,2,3,-1.886,0,1
161,22,-0.107,2,2,29,2.724,4,2,88,10.566,12,7,5,-6.544,0,3,11,-2.788,2,3,2,-1.254,0,1
162,26,5.343,7,2,16,3.223,2,0,73,5.144,11,6,10,1.004,1,1,3,-2.053,0,1,2,0.358,0,0
163,18,-3.374,1,3,26,13.776,9,0,72,4.746,10,3,4,0.340,0,0,8,-5.637,0,3,1,-0.338,0,0
164,20,4.720,4,1,29,3.192,5,1,64,-3.199,8,8,0,0.000,0,0,4,-3.311,0,1,3,-0.749,0,1
165,22,2.729,3,1,23,2.500,4,4,45,6.169,7,2,2,-1.339,0,1,5,-1.005,0,0,2,-1.726,0,1
166,24,7.200,5,1,28,7.730,6,3,60,-4.410,10,10,4,-3.570,0,1,4,-0.885,1,1,2,-1.275,0,1
167,28,8.691,8,4,27,7.688,6,2,47,4.708,6,2,2,-0.284,0,0,7,0.269,0,1,1,-0.142,0,0
6,3,9,4,-3.622,0,2,17,-1.696,1,2
166,13,3.686,3,0,25,3.845,3,1,24,7.200,5,1,10,-2.605,1,3,5,2.212,1,0,14,-3.064,3,1
167,9,-0.878,1,1,17,10.443,7,0,28,8.691,8,4,32,-9.267,5,9,7,2.240,2,0,4,-1.527,1,1
