,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-05-17,0,0.000,0.000,0.000,5,5.240,4.000,1.000,23,2.723,4.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-18,1,-0.142,0.000,0.000,2,-1.644,0.000,1.000,17,-3.965,1.368,3.368,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-19,1,-0.142,0.000,0.000,3,0.298,0.000,0.000,7,1.793,1.000,0.000,3,-0.142,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-20,0,0.000,0.000,0.000,2,-0.796,0.000,0.000,5,2.316,1.000,0.000,3,0.000,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-21,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,6,0.959,0.000,0.000,6,0.824,1.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-22,1,0.916,0.000,0.000,4,1.346,1.000,0.000,9,0.204,1.000,0.000,7,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-05-23,1,-0.142,0.000,0.000,2,2.219,1.000,0.000,16,0.141,1.000,3.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-24,1,-0.142,0.000,0.000,6,1.685,1.368,0.000,14,2.410,2.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.760,0.000,0.000
2014-05-25,2,-0.284,0.000,0.000,7,0.717,2.000,1.000,15,2.424,2.018,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-26,2,-0.284,0.000,0.000,1,-0.142,0.000,0.000,12,-4.568,0.000,2.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-05-27,1,-0.142,0.000,0.000,4,-0.938,0.000,0.002,3,-0.336,0.000,0.000,1,-0.142,0.000,0.000,2,-0.050,0.000,0.000,4,-1.641,0.000,2.000
2014-05-28,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,1,-0.003,0.000,0.000,11,-1.293,0.000,1.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-05-29,0,0.000,0.000,0.000,2,0.298,0.000,0.000,8,-3.704,0.000,1.000,3,-0.142,0.000,0.000,12,-0.690,0.000,0.000,0,0.000,0.000,0.000
2014-05-30,1,1.381,1.000,0.000,3,-1.453,0.000,1.000,7,1.336,2.000,0.736,6,-0.978,1.000,1.000,16,-0.095,0.000,0.000,2,-1.100,0.000,1.000
2014-05-31,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-01,0,0.000,0.000,0.000,6,0.206,1.000,1.000,19,-2.662,2.000,3.000,8,0.000,0.000,0.000,16,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-06-02,1,-0.142,0.000,0.000,3,1.363,1.000,0.000,13,-1.943,2.000,3.000,11,-1.353,0.000,1.000,30,0.000,0.000,0.000,3,-2.774,0.000,1.000
2014-06-03,1,-0.142,0.000,0.000,5,2.446,2.000,0.000,8,1.407,1.050,0.000,8,-1.293,0.000,1.000,25,0.000,0.000,0.000,3,-0.757,0.000,1.000
