,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
92,6,-1.303,0.000,0.000,9,1.153,3.000,2.000,32,9.409,5.418,1.007,6,2.262,1.000,0.000,3,0.000,0.000,0.000,2,-2.170,0.000,1.000
93,11,-0.823,1.000,1.736,11,-0.494,1.000,0.000,29,3.092,4.000,2.000,5,-2.213,0.000,1.000,2,0.476,0.000,0.000,3,1.040,1.000,0.000
94,14,3.816,3.000,1.000,14,1.337,2.000,1.000,33,-0.274,1.368,3.000,4,0.000,0.000,0.000,5,0.127,1.000,1.670,3,-0.891,0.000,1.000
95,11,5.719,3.000,0.000,13,5.735,4.000,0.368,40,-0.558,5.000,3.000,4,-2.053,0.000,1.000,10,7.998,5.000,0.670,2,0.237,0.000,0.000
96,12,1.995,1.000,0.000,12,4.988,3.000,0.000,50,4.881,9.153,4.000,12,1.541,1.000,0.000,5,-0.759,0.000,0.670,6,-0.882,1.000,1.000
97,23,0.494,2.110,1.000,12,3.138,1.000,0.000,38,2.132,2.104,1.007,15,-0.369,0.000,0.000,9,-0.192,1.000,0.740,3,-0.419,0.000,0.000
98,11,0.532,1.000,0.000,14,4.394,3.000,0.000,40,3.776,6.000,1.000,15,0.657,0.000,0.000,12,4.625,3.000,0.000,16,-2.282,1.000,3.104
99,8,4.034,2.000,0.000,13,-1.263,2.000,2.135,23,0.549,1.135,1.000,21,1.534,1.000,0.000,8,3.909,2.000,0.000,3,0.685,0.000,0.368
100,8,-1.048,0.000,1.000,4,1.743,1.000,0.000,13,-2.572,0.000,1.000,10,2.262,1.000,0.000,2,0.000,0.000,0.000,9,-3.794,0.000,2.104
101,9,-3.059,0.000,1.000,5,4.136,3.000,0.000,5,-0.710,0.000,0.000,9,-3.835,0.000,1.000,4,-2.345,0.000,1.000,2,-2.244,0.000,1.000
102,5,-0.426,0.000,0.000,2,1.200,1.000,0.000,3,-0.426,0.000,0.000,7,0.000,0.000,0.000,16,-0.085,0.000,0.000,0,0.000,0.000,0.000
103,3,1.534,1.000,0.000,1,-1.254,0.000,1.000,4,1.268,1.000,0.000,4,0.000,0.000,0.000,1,-1.378,0.000,1.000,1,0.002,0.001,0.000
104,2,-0.284,0.000,0.000,1,-1.417,0.000,1.000,2,-1.535,0.368,1.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
105,0,0.000,0.000,0.000,4,2.556,1.000,0.000,2,2.087,2.000,0.000,2,-0.142,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
106,2,0.419,0.000,0.000,3,0.471,0.000,0.000,6,2.084,1.000,0.000,3,-0.000,0.000,0.000,0,0.000,0.000,0.000,3,-1.797,0.000,0.000
107,3,-0.189,0.000,0.000,12,-0.590,0.000,0.001,14,-0.168,1.050,0.000,1,-0.142,0.000,0.000,1,1.111,1.000,0.000,1,1.463,1.000,0.000
108,7,1.235,1.000,1.000,24,7.553,4.368,1.001,10,0.241,1.050,0.000,6,-2.117,0.000,1.000,6,-3.612,0.000,1.000,5,0.595,0.301,0.000
109,14,6.990,3.368,0.000,25,-2.519,3.000,4.000,18,0.703,2.000,1.000,7,-1.024,0.000,1.000,6,-1.082,0.000,1.000,0,0.000,0.000,0.000
110,4,-0.367,0.000,0.000,29,1.323,2.000,0.135,25,0.388,0.135,0.000,9,-0.142,0.000,0.000,0,0.000,0.000,0.000,2,0.440,0.301,0.000
111,13,-0.448,2.000,1.000,28,2.091,3.000,1.136,33,-3.570,3.104,3.000,8,-0.142,0.000,0.000,5,-1.495,0.000,1.000,2,-1.910,0.001,1.000
112,18,0.394,2.000,1.000,33,2.099,3.000,1.001,29,4.066,4.000,0.007,12,-0.284,0.000,0.000,9,0.433,0.000,0.000,4,0.666,0.301,0.050
113,8,1.550,1.000,0.000,26,2.409,3.000,0.001,31,3.527,2.000,0.368,16,-3.662,0.000,2.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000
114,6,2.769,3.000,0.000,19,3.517,3.000,1.000,35,-2.749,3.037,4.000,19,0.000,0.000,0.000,13,-0.237,0.000,0.000,2,-0.284,0.000,0.000
115,21,0.649,2.000,1.000,23,-3.486,2.000,2.368,43,1.233,2.000,0.135,10,-0.426,0.000,0.000,5,-0.142,0.000,0.000,2,-0.149,0.000,0.000
116,15,5.858,5.000,0.000,15,1.602,2.368,2.000,29,-1.116,3.000,2.000,18,-0.870,0.000,1.000,5,0.068,2.000,1.000,6,3.223,1.301,0.000
117,10,1.899,2.000,0.000,16,-4.219,1.000,3.000,43,2.853,4.000,2.000,13,0.575,0.000,0.000,4,-0.142,0.000,0.000,0,0.000,0.000,0.000
118,19,3.274,2.000,0.000,14,-2.795,1.000,1.000,42,6.900,4.135,0.000,3,-0.000,0.000,0.000,5,-0.380,0.000,0.000,3,-0.194,0.000,0.000
119,24,4.881,5.000,1.000,18,6.759,4.000,1.000,53,2.203,6.368,2.000,8,-0.000,0.000,0.000,2,-1.552,0.000,1.000,4,-1.976,0.000,1.368
120,18,-0.470,2.135,2.000,16,7.678,3.000,0.000,41,2.074,4.503,1.000,10,-3.186,0.000,1.000,11,1.185,2.000,0.000,1,-1.580,0.000,1.000
121,16,4.168,2.000,0.000,32,5.320,4.000,1.000,72,14.477,8.472,0.756,12,0.000,0.000,0.000,11,1.080,1.000,0.000,6,-3.231,0.001,2.000
122,20,4.381,3.000,0.000,18,0.322,3.000,2.000,41,1.078,5.052,4.375,20,-0.000,0.000,0.000,13,-3.020,2.000,2.341,8,1.187,1.001,0.368
123,18,0.513,0.368,0.000,12,-0.324,0.000,0.000,52,-2.192,7.271,8.000,22,-0.142,0.000,0.000,18,1.385,1.000,1.000,1,-0.263,0.000,0.000
124,11,1.468,2.368,1.000,7,0.767,1.368,1.000,45,9.249,7.000,2.000,27,0.341,0.000,0.000,9,-0.374,2.000,1.000,7,-4.227,0.000,1.368
125,6,3.618,1.000,0.000,12,-6.504,1.000,4.000,36,-4.472,4.000,3.368,11,-0.561,0.000,0.000,13,-1.051,0.000,0.000,3,-3.094,0.000,1.000
126,10,1.467,1.000,1.000,4,5.056,2.000,0.000,17,5.932,3.000,2.000,5,-0.000,0.000,0.000,2,-2.070,0.000,1.000,1,-0.142,0.000,0.000
127,3,0.000,0.000,0.000,0,0.000,0.000,0.000,8,1.171,2.000,1.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
128,2,-0.284,0.000,0.000,1,-0.366,0.000,0.000,2,-1.342,0.000,1.000,3,-0.000,0.000,0.000,6,-5.386,0.000,2.000,2,-0.142,0.000,0.000
129,0,0.000,0.000,0.000,2,1.349,1.000,1.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
130,1,0.080,0.000,0.000,4,-0.553,0.000,0.368,0,0.000,0.000,0.000,4,0.000,0.000,0.000,1,-0.142,0.000,0.000,3,1.530,1.000,0.000
131,6,7.175,4.000,0.000,12,1.583,3.000,1.000,10,-0.242,0.000,0.368,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.383,0.000,0.000
132,9,4.206,3.000,1.000,25,1.602,3.000,1.138,10,2.109,1.002,0.000,5,0.731,0.000,0.000,2,-0.284,0.000,0.000,3,-2.200,0.301,2.000
133,5,2.368,2.000,0.000,19,-0.086,0.000,1.002,22,5.139,3.000,0.000,7,0.000,0.000,0.000,2,-1.945,0.000,0.670,0,0.000,0.000,0.000
134,10,5.733,4.000,1.000,31,4.862,4.368,0.001,29,2.714,4.050,0.007,4,-0.000,0.000,0.000,5,-5.436,0.000,2.341,3,-0.354,0.000,0.100
135,6,2.228,1.000,0.000,23,-2.022,1.368,2.001,56,3.730,6.104,5.000,17,0.000,0.000,0.000,6,0.188,1.000,0.670,9,-0.114,0.001,0.100
136,12,-2.015,2.000,2.000,15,3.393,3.000,1.000,56,8.414,9.368,4.000,8,-1.442,0.000,1.000,5,-0.356,0.000,0.000,6,-0.164,0.000,0.050
137,15,3.792,3.000,0.000,14,3.537,3.000,1.000,57,10.068,12.050,4.368,12,2.995,3.000,0.000,5,-0.284,0.000,0.000,1,0.001,0.000,0.000
138,18,2.280,2.000,1.000,16,-4.398,1.000,2.000,44,9.585,9.005,2.000,15,-0.000,0.000,0.000,8,-0.462,0.000,0.000,4,0.099,0.000,0.000
139,8,0.603,0.000,1.000,14,3.475,3.000,0.000,49,6.324,8.368,4.368,7,0.000,0.000,0.000,4,-1.794,0.368,1.000,1,0.000,0.000,0.000
140,14,2.989,2.000,0.000,13,4.534,5.000,1.000,48,-1.316,1.000,2.368,8,-0.142,0.000,0.000,8,0.462,0.000,0.000,2,-1.100,0.000,1.000
141,14,-0.785,1.000,1.000,23,-4.071,2.000,3.368,38,1.012,3.135,1.000,5,0.000,0.000,0.000,4,0.742,0.000,0.000,8,-2.838,0.000,1.050
142,9,-3.804,1.000,3.000,23,3.684,4.000,1.002,52,3.784,2.021,1.135,9,0.000,0.000,0.000,4,0.490,0.000,0.000,1,-0.142,0.000,0.000
