,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-04-21,50.733,31,100.725,60,8.071,5,12.275,8,40.891,28,2.728,2,10.589,8,11.918,8,1.165,1,3.263,2,0.000,0,0.000,0,0.000,0,0.000,0
2014-04-22,119.500,76,116.401,71,50.145,28,11.814,8,58.704,33,2.710,2,40.967,25,8.116,6,0.000,0,4.101,3,4.919,3,10.836,5,6.627,5,2.882,2
2014-04-23,109.890,72,106.926,65,125.090,81,29.154,19,41.412,26,3.835,3,22.926,13,9.127,6,4.175,3,1.326,1,0.000,0,1.308,1,6.283,5,3.096,2
2014-04-24,105.829,70,80.886,53,38.440,23,29.343,16,31.587,22,5.474,4,15.169,10,17.974,8,6.953,3,4.293,3,0.000,0,4.938,4,7.520,4,3.817,3
2014-04-25,70.330,41,72.111,38,58.193,36,56.553,37,6.820,5,4.840,3,13.069,11,15.028,8,7.934,7,6.863,5,5.305,3,2.406,1,2.380,2,2.535,2
2014-04-26,67.032,45,89.482,56,77.405,53,30.320,21,5.719,4,5.206,4,24.458,14,14.586,9,5.884,3,8.946,5,1.312,1,6.355,4,6.902,4,10.506,5
2014-04-27,69.864,43,32.327,23,89.701,53,74.070,43,15.566,9,3.581,2,12.740,8,12.069,7,10.288,5,6.556,4,6.920,4,0.000,0,32.090,23,10.383,8
2014-04-28,54.338,33,27.621,18,47.022,26,21.488,13,1.112,1,6.189,4,5.726,4,6.920,4,2.216,2,2.867,2,2.348,2,0.000,0,0.000,0,4.024,2
2014-04-29,44.377,32,15.437,12,16.462,10,19.090,12,17.583,8,5.548,4,11.757,8,4.018,2,2.388,2,5.405,4,2.602,2,0.000,0,4.590,3,0.000,0
2014-04-30,42.358,29,7.042,6,29.233,20,29.599,19,9.512,6,1.487,1,16.178,11,22.206,10,5.619,3,10.935,8,2.764,2,7.594,6,0.000,0,0.000,0
2014-05-01,59.500,41,39.801,24,22.699,16,33.932,23,7.117,4,6.742,5,25.256,16,1.802,1,0.000,0,8.354,4,3.978,3,4.590,3,0.000,0,7.007,4
2014-05-02,86.846,58,28.198,16,69.550,42,48.105,31,27.027,17,4.668,4,26.545,20,17.453,13,0.000,0,1.194,1,3.310,2,0.000,0,11.662,10,3.657,2
2014-05-03,64.846,41,25.795,15,112.485,70,54.275,30,74.220,48,11.142,5,37.646,24,11.200,8,4.182,2,6.260,4,6.348,4,7.558,4,2.488,1,10.822,6
