clid	venue	lon	lat	category	user	year	doy	dow	hour	txt
0	NOLA on the Square	-80.0028	40.4410	NA	IPhillyBoy2011	2014	138	0	22	I'm at NOLA on the Square - (Pittsburgh, PA)
0	NOLA on the Square	-80.0028	40.4410	NA	psuftk08	2014	356	1	21	I'm at NOLA on the Square - in Pittsburgh, PA w/
0	NOLA on the Square	-80.0028	40.4410	NA	spots87	2015	46	0	0	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	meetjenn	2015	71	4	21	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	Twism44	2015	136	6	2	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	Thea_Mae	2015	139	2	0	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	ParrotHead134	2015	161	3	17	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	dlove170	2015	196	3	16	I'm at NOLA on the Square - in Pittsburgh, PA
0	NOLA on the Square	-80.0028	40.4410	NA	sooper_whit	2015	207	0	15	I'm at NOLA on the Square - in Pittsburgh, PA
0	Three Rivers Art Festival Pittsburgh Pa	-80.0058	40.4424	NA	AmyCapComedy	2015	157	6	18	Just posted a photo Three Rivers Art Festival Pittsburgh Pa
0	Family Division	-79.9954	40.4385	NA	TravelingTricia	2014	135	4	16	I'm at Family Division (Pittsburgh, PA)
0	Family Division	-79.9954	40.4385	NA	HOPPERBOLIC	2014	135	4	16	I'm at Family Division w/
0	Family Division	-79.9954	40.4385	NA	HOPPERBOLIC	2015	177	5	12	I'm at Family Division in Pittsburgh, PA w/
0	Simple Ingredients	-79.9986	40.4427	NA	PersephoniA	2015	146	2	17	I'm at Simple Ingredients in Pittsburgh, PA
0	Stone Neapolitan Pizzeria	-80.0061	40.4414	NA	jeffreystone	2015	143	6	4	I'm at Stone Neapolitan Pizzeria in Pittsburgh, PA
0	Stone Neapolitan Pizzeria	-80.0061	40.4414	NA	chriscieri	2015	175	3	0	I'm at Stone Neapolitan Pizzeria in Pittsburgh, PA
0	Bea Taco Town	-79.9970	40.4423	NA	superfro432	2014	339	5	18	I'm at Bea Taco Town in Pittsburgh, PA
0	Pride	-79.9963	40.4434	NA	p2theezzo	2014	166	0	0	I'm at Pride in the Street w/ Chaka Khan (Pittsburgh, PA) w/ 9 others
0	CVS Pharmacy	-79.9991	40.4425	NA	IPhillyBoy2011	2014	132	1	13	I'm at CVS Pharmacy - (Pittsburgh, PA)
0	CVS Pharmacy	-79.9991	40.4425	NA	Tillikum_V	2015	190	4	15	I'm at CVS Pharmacy - in Pittsburgh, PA
0	Cabaret Theater at Theater Square	-80.0013	40.4430	NA	IPhillyBoy2011	2014	135	4	12	I'm at Cabaret Theater at Theater Square - (Pittsburgh, PA)
0	Cabaret Theater at Theater Square	-80.0013	40.4430	NA	timron1999	2014	233	4	21	Just posted a photo Theater Square
0	Fernando's Cafe	-79.9955	40.4436	NA	brexx_nirpaw	2014	273	2	18	I'm at Fernando's Cafe in Pittsburgh, PA
0	Fernando's Cafe	-79.9955	40.4436	NA	dmuth	2015	67	0	17	I'm at Fernando's Cafe in Pittsburgh, PA
0	Fernando's Cafe	-79.9955	40.4436	NA	TheFluffyFur	2015	98	3	21	I'm at Fernando's Cafe in Pittsburgh, PA
0	Fernando's Cafe	-79.9955	40.4436	NA	brexx_nirpaw	2015	189	3	23	I'm at Fernando's Cafe in Pittsburgh, PA
0	Fernando's Cafe	-79.9955	40.4436	NA	sorcererdale	2015	191	5	0	I'm at Fernando's Cafe in Pittsburgh, PA
