name	hier	id
Satay Restaurant	\Food\Asian Restaurant\Satay Restaurant	56aa371be4b08b9a8d57350e
Thai Restaurant	\Food\Asian Restaurant\Thai Restaurant	4bf58dd8d48988d149941735
Som Tum Restaurant	\Food\Asian Restaurant\Thai Restaurant\Som Tum Restaurant	56aa371be4b08b9a8d573502
Tibetan Restaurant	\Food\Asian Restaurant\Tibetan Restaurant	52af39fb3cf9994f4e043be9
Vietnamese Restaurant	\Food\Asian Restaurant\Vietnamese Restaurant	4bf58dd8d48988d14a941735
Australian Restaurant	\Food\Australian Restaurant	4bf58dd8d48988d169941735
Austrian Restaurant	\Food\Austrian Restaurant	52e81612bcbc57f1066b7a01
BBQ Joint	\Food\BBQ Joint	4bf58dd8d48988d1df931735
Bagel Shop	\Food\Bagel Shop	4bf58dd8d48988d179941735
Bakery	\Food\Bakery	4bf58dd8d48988d16a941735
Belgian Restaurant	\Food\Belgian Restaurant	52e81612bcbc57f1066b7a02
Bistro	\Food\Bistro	52e81612bcbc57f1066b79f1
Breakfast Spot	\Food\Breakfast Spot	4bf58dd8d48988d143941735
Bubble Tea Shop	\Food\Bubble Tea Shop	52e81612bcbc57f1066b7a0c
Buffet	\Food\Buffet	52e81612bcbc57f1066b79f4
Burger Joint	\Food\Burger Joint	4bf58dd8d48988d16c941735
Cafeteria	\Food\Cafeteria	4bf58dd8d48988d128941735
Café	\Food\Café	4bf58dd8d48988d16d941735
Cajun / Creole Restaurant	\Food\Cajun / Creole Restaurant	4bf58dd8d48988d17a941735
Caribbean Restaurant	\Food\Caribbean Restaurant	4bf58dd8d48988d144941735
Cuban Restaurant	\Food\Caribbean Restaurant\Cuban Restaurant	4bf58dd8d48988d154941735
Caucasian Restaurant	\Food\Caucasian Restaurant	5293a7d53cf9994f4e043a45
Coffee Shop	\Food\Coffee Shop	4bf58dd8d48988d1e0931735
Comfort Food Restaurant	\Food\Comfort Food Restaurant	52e81612bcbc57f1066b7a00
Creperie	\Food\Creperie	52e81612bcbc57f1066b79f2
Czech Restaurant	\Food\Czech Restaurant	52f2ae52bcbc57f1066b8b81
Deli / Bodega	\Food\Deli / Bodega	4bf58dd8d48988d146941735
Dessert Shop	\Food\Dessert Shop	4bf58dd8d48988d1d0941735
Cupcake Shop	\Food\Dessert Shop\Cupcake Shop	4bf58dd8d48988d1bc941735
Frozen Yogurt Shop	\Food\Dessert Shop\Frozen Yogurt Shop	512e7cae91d4cbb4e5efe0af
Ice Cream Shop	\Food\Dessert Shop\Ice Cream Shop	4bf58dd8d48988d1c9941735
Pastry Shop	\Food\Dessert Shop\Pastry Shop	5744ccdfe4b0c0459246b4e2
Pie Shop	\Food\Dessert Shop\Pie Shop	52e81612bcbc57f1066b7a0a
Diner	\Food\Diner	4bf58dd8d48988d147941735
Donut Shop	\Food\Donut Shop	4bf58dd8d48988d148941735
Dumpling Restaurant	\Food\Dumpling Restaurant	4bf58dd8d48988d108941735
Dutch Restaurant	\Food\Dutch Restaurant	5744ccdfe4b0c0459246b4d0
Eastern European Restaurant	\Food\Eastern European Restaurant	4bf58dd8d48988d109941735
Belarusian Restaurant	\Food\Eastern European Restaurant\Belarusian Restaurant	52e928d0bcbc57f1066b7e97
Bulgarian Restaurant	\Food\Eastern European Restaurant\Bulgarian Restaurant	56aa371be4b08b9a8d5734f3
Romanian Restaurant	\Food\Eastern European Restaurant\Romanian Restaurant	52960bac3cf9994f4e043ac4
Tatar Restaurant	\Food\Eastern European Restaurant\Tatar Restaurant	52e928d0bcbc57f1066b7e98
English Restaurant	\Food\English Restaurant	52e81612bcbc57f1066b7a05
Falafel Restaurant	\Food\Falafel Restaurant	4bf58dd8d48988d10b941735
Fast Food Restaurant	\Food\Fast Food Restaurant	4bf58dd8d48988d16e941735
Fish & Chips Shop	\Food\Fish & Chips Shop	4edd64a0c7ddd24ca188df1a
Fondue Restaurant	\Food\Fondue Restaurant	52e81612bcbc57f1066b7a09
Food Court	\Food\Food Court	4bf58dd8d48988d120951735
Food Stand	\Food\Food Stand	56aa371be4b08b9a8d57350b
Food Truck	\Food\Food Truck	4bf58dd8d48988d1cb941735
French Restaurant	\Food\French Restaurant	4bf58dd8d48988d10c941735
Alsatian Restaurant	\Food\French Restaurant\Alsatian Restaurant	57558b36e4b065ecebd306b6
Auvergne Restaurant	\Food\French Restaurant\Auvergne Restaurant	57558b36e4b065ecebd306b8
Basque Restaurant	\Food\French Restaurant\Basque Restaurant	57558b36e4b065ecebd306bc
Brasserie	\Food\French Restaurant\Brasserie	57558b36e4b065ecebd306b0
Breton Restaurant	\Food\French Restaurant\Breton Restaurant	57558b36e4b065ecebd306c5
Burgundian Restaurant	\Food\French Restaurant\Burgundian Restaurant	57558b36e4b065ecebd306c0
Catalan Restaurant	\Food\French Restaurant\Catalan Restaurant	57558b36e4b065ecebd306cb
Ch'ti Restaurant	\Food\French Restaurant\Ch'ti Restaurant	57558b36e4b065ecebd306ce
Corsican Restaurant	\Food\French Restaurant\Corsican Restaurant	57558b36e4b065ecebd306d1
Estaminet	\Food\French Restaurant\Estaminet	57558b36e4b065ecebd306b4
Labour Canteen	\Food\French Restaurant\Labour Canteen	57558b36e4b065ecebd306b2
Lyonese Bouchon	\Food\French Restaurant\Lyonese Bouchon	57558b35e4b065ecebd306ad
Norman Restaurant	\Food\French Restaurant\Norman Restaurant	57558b36e4b065ecebd306d4
Provençal Restaurant	\Food\French Restaurant\Provençal Restaurant	57558b36e4b065ecebd306d7
Savoyard Restaurant	\Food\French Restaurant\Savoyard Restaurant	57558b36e4b065ecebd306da
Southwestern French Restaurant	\Food\French Restaurant\Southwestern French Restaurant	57558b36e4b065ecebd306ba
Fried Chicken Joint	\Food\Fried Chicken Joint	4d4ae6fc7a7b7dea34424761
Friterie	\Food\Friterie	55d25775498e9f6a0816a37a
Gastropub	\Food\Gastropub	4bf58dd8d48988d155941735
German Restaurant	\Food\German Restaurant	4bf58dd8d48988d10d941735
Apple Wine Pub	\Food\German Restaurant\Apple Wine Pub	56aa371ce4b08b9a8d573583
