venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Roberto Clemente Bridge	-80.0033	40.4456	CodySiwicki	2014	189	2	15	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Jay_MileHigh	2014	219	4	2	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	DJTMI	2014	92	3	21	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0032	40.4449	AppleGuru22	2014	95	6	19	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	CodySiwicki	2014	189	2	15	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Jay_MileHigh	2014	219	4	2	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	DJTMI	2014	92	3	21	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0032	40.4449	AppleGuru22	2014	95	6	19	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0032	40.4449	BenzaBurgh	2014	81	6	3	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	scottdavidcohen	2014	240	4	3	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	DJTMI	2014	92	3	21	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Besser89	2015	242	0	17	0.000	Just posted a photo Roberto Clemente Bridge
E Liberty Blvd and N Highland Ave	-79.9228	40.4659	AynMcGraw	2014	113	3	1	0.327	Just posted a photo E Liberty Blvd and N Highland Ave
Pamela's P &amp; G Diner - Strip District	-79.9835	40.4520	gia_ritch	2014	173	0	13	0.000	Just posted a photo Pamela's P &amp; G Diner - Strip District
Pamela's P &amp; G Diner - Strip District	-79.9835	40.4520	aristotlejulep	2014	144	6	13	0.000	Just posted a photo Pamela's P &amp; G Diner - Strip District
Pamela's P &amp; G Diner - Strip District	-79.9835	40.4520	gia_ritch	2014	173	0	13	0.000	Just posted a photo Pamela's P &amp; G Diner - Strip District
Pamela's P &amp; G Diner - Strip District	-79.9835	40.4520	ShelleyDuffy	2014	207	6	15	0.000	Just posted a photo Pamela's P &amp; G Diner - Strip District
Pamela's P &amp; G Diner - Strip District	-79.9835	40.4520	aristotlejulep	2014	144	6	13	0.000	Just posted a photo Pamela's P &amp; G Diner - Strip District
Gus And Yaya's	-80.0121	40.4519	JoshLouie	2014	103	0	19	0.000	Just posted a photo Gus And Yaya's
Downtown Pittsburgh, Pa	-80.0064	40.4416	JoshLouie	2014	94	5	19	0.000	Just posted a photo Downtown Pittsburgh, Pa
