venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Frank B. Fuhrer Wholesale Co_2	-79.9618	40.4228	16	1	2014	24	2	0.000
Diesel Club Lounge	-79.9826	40.4290	16	9	2015	54	0	0.000
Moe's Southwest Grill_2	-80.0953	40.3832	16	8	2014	32	6	0.000
Bigelow Grille	-79.9947	40.4406	16	6	2015	190	4	0.000
Peace, Love & Little Donuts	-79.9841	40.4520	16	9	2014	89	6	0.508
Eggs-R-Us	-80.0555	40.4275	16	6	2014	56	2	0.000
E2	-79.9197	40.4756	16	6	2014	60	6	0.000
Mirror Image Hair Salon	-79.9034	40.4094	16	1	2014	66	3	0.000
Me Lyng_2	-79.9139	40.4065	16	2	2014	73	2	0.000
Patron Mexican Grill	-79.9250	40.4601	16	6	2014	272	0	0.000
Duke's Upper Deck	-79.9129	40.4054	16	4	2014	54	5	0.000
Social Club	-79.9723	40.4589	16	4	2014	151	6	0.000
Marshalls	-79.9076	40.4118	16	3	2014	86	3	0.000
Il Pizzaiolo_2	-80.0025	40.4408	16	9	2014	50	3	0.000
Spin Bartini	-79.9311	40.4557	16	3	2015	277	6	0.000
Maxon Towers	-79.9184	40.4383	15	3	2014	43	3	0.000
Pitts Dogg'n It	-79.9291	40.4575	15	2	2014	22	3	0.000
Arsenal Lanes	-79.9597	40.4710	15	9	2014	4	0	0.000
Rankin Christian Center	-79.8809	40.4131	15	1	2014	126	2	0.000
West End Bridge	-80.0267	40.4465	15	3	2014	88	6	0.000
Flagstaff Hill	-79.9459	40.4402	15	5	2014	185	6	0.000
Pittsburgh, PA_2	-79.9906	40.4416	15	9	2014	241	5	0.000
Shiloh Grill	-80.0071	40.4309	15	9	2015	73	0	0.000
P Town	-79.9489	40.4543	15	3	2014	271	1	0.000
Mardi Gras	-79.9348	40.4512	15	6	2014	118	2	0.000
Westwood Field	-80.0502	40.4312	15	1	2014	103	0	0.000
Ugly Dog Saloon	-80.0556	40.4268	15	2	2014	15	4	-0.327
Steak 'n Shake	-79.9025	40.4142	15	8	2014	72	4	-0.212
Packs & Dogs	-80.0073	40.4300	15	7	2015	185	6	0.000
Beto's Pizza & Restaurant	-80.0304	40.4127	15	5	2014	103	0	0.000
Western Psychiatric Institute and Clinic of UPMC	-79.9596	40.4433	15	1	2015	244	2	0.000
Walmart_2	-80.0961	40.3868	15	4	2014	155	2	0.000
Day West Liberty Subaru	-80.0235	40.4004	15	1	2014	48	1	0.327
Peppi's Old Tyme Sandwich Shop_1	-79.9855	40.4501	15	6	2014	81	2	0.000
Barnes & Noble_2	-79.9158	40.4085	15	7	2014	58	6	0.326
Primanti Bros_2	-79.9568	40.4417	15	7	2015	165	6	0.000
Courtyard By Marriot Valet Parking Lot_1	-79.9954	40.4449	15	1	2014	186	6	0.000
new covenant community church	-79.9068	40.4075	15	1	2014	66	5	0.000
Emiliano's Mexican Restaurant and Bar	-79.9684	40.4276	14	12	2014	10	6	0.000
B Z Bar and Grill	-80.0042	40.4482	14	11	2014	31	0	0.000
Wellsford Cave	-79.9553	40.4353	14	1	2014	94	0	0.000
Ramen Bar	-79.9206	40.4380	14	12	2014	3	6	0.000
Mr. Magic Car Wash_2	-80.0392	40.4049	14	4	2014	17	6	0.000
Bado's Pizza Grill & Ale House	-80.0498	40.3886	14	5	2014	10	6	0.000
Port Authority Station Square Station	-80.0032	40.4315	14	3	2014	70	2	0.134
Taco Bell_1	-79.8950	40.4875	14	4	2014	166	5	0.000
Hollywood Theater	-80.0352	40.3961	14	7	2014	115	0	-0.034
Diamond Market Bar & Grill	-80.0023	40.4410	14	9	2015	151	5	0.215
La Gourmandine Bakery	-79.9588	40.4729	14	4	2014	16	5	0.000
Atria's Restaurant & Tavern_2	-79.8728	40.4892	14	3	2015	52	3	0.000
Prantl's Bakery_1	-79.9328	40.4515	14	5	2015	59	6	0.000
College Hall	-79.9901	40.4367	14	2	2014	73	3	0.000
Nicky's Thai Kitchen_1	-80.0162	40.4521	14	6	2014	273	3	0.000
Rose Tea Caf	-79.9487	40.4448	14	1	2014	303	3	0.000
Parkers Pgh	-80.0351	40.3956	14	2	2015	189	3	0.000
Frank B. Fuhrer Wholesale Co_1	-79.9610	40.4220	14	2	2014	79	1	0.000
Salk Hall	-79.9629	40.4427	14	1	2014	77	5	0.000
Acacia	-79.9759	40.4286	14	8	2014	72	0	0.000
Hyatt Place Pittsburgh/North Shore	-80.0090	40.4467	14	6	2014	46	6	0.000
Walking to The Sky	-79.9428	40.4441	14	4	2014	281	2	0.000
UPMC Montefiore	-79.9620	40.4411	14	3	2015	39	0	0.000
Beehive Coffeehouse	-79.9843	40.4289	14	8	2014	154	3	0.000
Thunderbolt	-79.8649	40.3889	13	5	2014	196	3	0.000
Mullen	-79.9823	40.4549	13	3	2014	105	4	0.000
Giant Eagle_3	-79.8886	40.4253	13	3	2015	155	5	0.000
