clid	venue	lon	lat	user	year	doy	dow	hour
0	Starbucks_10	-80.0000	40.4422	PersephoniA	2014	191	4	17	0.000
0	Starbucks_10	-80.0000	40.4422	PersephoniA	2014	287	2	12	0.000
0	Starbucks_10	-80.0000	40.4422	IPhillyBoy2011	2014	70	2	2	0.000
0	Starbucks_10	-80.0000	40.4422	PersephoniA	2014	289	4	12	0.000
0	Starbucks_10	-80.0000	40.4422	ChristineSheal	2014	301	2	22	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	302	3	15	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	303	4	12	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	304	5	18	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	356	1	14	0.000
0	Starbucks_10	-80.0000	40.4422	PersephoniA	2014	357	2	12	0.000
0	Starbucks_10	-80.0000	40.4422	ParrotHead134	2015	13	2	12	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	15	4	14	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	20	2	17	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	54	1	14	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	31	5	15	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	42	2	16	0.000
0	Starbucks_10	-80.0000	40.4422	IPhillyBoy2011	2014	52	5	21	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	76	1	12	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	168	2	12	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	161	2	11	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	155	3	11	0.000
0	Starbucks_10	-80.0000	40.4422	PersephoniA	2014	150	5	16	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	85	3	12	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	91	2	11	0.000
