clid	venue	lon	lat	user	year	doy	dow	hour
2	CONSOL Energy Center	-79.9894	40.4396	kraym3r	2014	85	3	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	dj_Bamboo	2014	91	2	21	0.296
2	CONSOL Energy Center	-79.9894	40.4396	CatherineMarr	2014	107	4	3	0.296
2	CONSOL Energy Center	-79.9894	40.4396	ashlynniicolee	2014	82	0	16	0.296
2	CONSOL Energy Center	-79.9894	40.4396	george_birman	2014	83	1	17	0.296
2	CONSOL Energy Center	-79.9894	40.4396	kraym3r	2014	85	3	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	CatherineMarr	2014	107	4	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	Eli4short	2014	107	4	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	therealannawebb	2015	265	2	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	psu_char_99	2015	265	2	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	RyanDGreen	2015	269	6	22	0.296
2	CONSOL Energy Center	-79.9894	40.4396	Eli4short	2014	35	2	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	BantamDraper	2014	23	4	1	0.296
2	CONSOL Energy Center	-79.9894	40.4396	8_nL	2014	39	6	0	0.296
15	Top Gear Bicycle Shop	-79.9268	40.4593	Andy1Volz	2014	108	5	17	0.231
5	Taylor Swift Concert	-80.0157	40.4465	kristen_morello	2015	158	0	0	0.265
5	Taylor Swift Concert	-80.0157	40.4465	kristen_morello	2015	158	0	0	0.265
6	Static Nightclub	-79.9870	40.4501	Markee_Ann	2015	1	4	17	0.000
0	August Wilson Center for African American Culture	-79.9957	40.4433	iamseton	2014	195	1	3	0.000
0	August Wilson Center for African American Culture	-79.9957	40.4433	iamseton	2014	195	1	3	0.000
0	August Wilson Center for African American Culture	-79.9957	40.4433	iamseton	2014	195	1	3	0.000
10	Kappa Sigma at CMU	-79.9417	40.4456	wentaoooo	2014	163	4	7	0.000
10	Kappa Sigma at CMU	-79.9417	40.4456	wentaoooo	2014	163	4	7	0.000
19	City of Pittsburgh_1	-80.0199	40.4156	Turki_3_O	2015	39	0	2	0.000
0	Pop-Up Canada	-79.9969	40.4414	Andy1Volz	2014	113	3	15	0.000
0	Pop-Up Canada	-79.9969	40.4414	Andy1Volz	2014	113	3	15	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	17	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	17	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	17	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	17	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	17	0.000
9	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	NadineLister	2015	202	2	19	0.000
0	Liberty Ave	-79.9967	40.4431	KeepPghDope	2015	308	3	22	0.459
3	Mallorca Restaurant	-79.9734	40.4281	LeMIChar	2015	304	6	0	0.000
3	Mallorca Restaurant	-79.9734	40.4281	LeMIChar	2015	304	6	1	0.000
3	Mallorca Restaurant	-79.9734	40.4281	LeMIChar	2015	304	6	3	0.000
3	Mallorca Restaurant	-79.9734	40.4281	LeMIChar	2015	304	6	3	0.000
0	O'Reilly Theater	-80.0016	40.4432	becsmccart	2014	181	1	0	0.000
3	Skybar Pittsburgh	-79.9826	40.4290	jasminedavis101	2014	234	5	15	0.000
13	PITTSBURGH	-80.0062	40.4355	BadBitchGudPusC	2014	41	1	2	0.000
6	Pittsburgh's Strip District_2	-79.9815	40.4533	aurelio02	2015	276	6	20	0.000
6	Pittsburgh's Strip District_2	-79.9815	40.4533	aurelio02	2015	276	6	20	0.000
6	Pittsburgh's Strip District_2	-79.9815	40.4533	aurelio02	2015	276	6	20	0.000
6	Pittsburgh's Strip District_2	-79.9815	40.4533	aurelio02	2015	276	6	20	0.000
6	Pittsburgh's Strip District_2	-79.9815	40.4533	aurelio02	2015	276	6	20	0.000
