how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
70,0.82759,0.41379,0.20690,0.48276,0.06897,0.10345,0.03448,0.00000,0.03448,0.10345,0.03448,0.37931,0.17241,0.41379
71,1.68421,0.42105,0.05263,0.47368,0.21053,0.15789,0.52632,0.00000,0.00000,0.15789,0.00000,0.42105,0.00000,0.52632
72,0.77419,0.06452,0.00000,0.12903,0.09677,0.00000,0.06452,0.00000,0.00000,0.09677,0.03226,0.41935,0.00000,0.22581
73,0.16667,0.33333,0.22222,0.27778,0.16667,0.00000,0.00000,0.11111,0.00000,0.05556,0.05556,0.05556,0.00000,0.27778
74,0.33333,0.08333,0.00000,1.08333,0.08333,0.00000,0.58333,0.00000,0.00000,0.00000,0.00000,0.16667,0.00000,0.33333
75,0.14286,0.00000,0.07143,0.25000,0.07143,0.00000,0.03571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
76,0.00000,0.00000,0.00000,0.41176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05882
77,0.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000
78,0.11111,0.00000,0.00000,0.00000,0.11111,0.00000,0.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
79,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
80,0.50000,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
81,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
82,2.33333,1.33333,0.00000,0.00000,0.33333,0.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.33333
83,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
84,6.00000,0.00000,0.50000,1.50000,1.50000,5.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.00000
85,18.00000,0.00000,1.00000,0.00000,3.00000,9.00000,1.00000,1.00000,0.00000,1.00000,0.00000,7.00000,0.00000,8.00000
86,2.87500,0.12500,0.12500,0.75000,0.50000,0.50000,1.12500,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.87500
87,1.36842,0.31579,0.05263,0.26316,0.36842,0.31579,0.15789,0.00000,0.00000,0.00000,0.00000,0.05263,0.00000,0.57895
88,0.45455,0.90909,0.18182,0.09091,0.27273,0.13636,0.59091,0.40909,0.00000,0.00000,0.04545,0.59091,0.00000,0.54545
89,3.14286,1.57143,0.14286,0.42857,1.28571,1.42857,4.14286,0.00000,0.00000,0.14286,0.00000,0.71429,0.57143,0.71429
90,0.97561,0.17073,0.00000,0.19512,0.14634,0.04878,0.04878,0.12195,0.00000,0.00000,0.00000,0.00000,0.00000,0.41463
91,0.96552,0.44828,0.20690,0.24138,0.17241,0.13793,0.06897,0.06897,0.00000,0.06897,0.06897,0.10345,0.20690,0.20690
92,0.41176,0.11765,0.05882,0.38235,0.17647,0.14706,0.02941,0.00000,0.00000,0.02941,0.11765,0.02941,0.00000,0.58824
93,0.94118,0.38235,0.05882,0.50000,0.32353,0.00000,0.02941,0.00000,0.00000,0.08824,0.02941,0.35294,0.05882,0.29412
94,0.97872,0.10638,0.06383,0.31915,0.27660,0.06383,0.25532,0.00000,0.00000,0.12766,0.04255,0.34043,0.00000,0.12766
95,0.58000,0.20000,0.26000,0.38000,0.08000,0.02000,0.06000,0.02000,0.00000,0.08000,0.02000,0.12000,0.02000,0.10000
96,0.42857,0.19048,0.14286,0.38095,0.02381,0.09524,0.02381,0.14286,0.00000,0.09524,0.16667,0.04762,0.04762,0.09524
97,0.61290,0.12903,0.03226,0.38710,0.09677,0.00000,0.00000,0.00000,0.00000,0.03226,0.03226,0.03226,0.00000,0.16129
98,0.57692,0.03846,0.07692,0.42308,0.15385,0.00000,0.03846,0.00000,0.00000,0.03846,0.03846,0.26923,0.00000,0.23077
99,0.50000,0.75000,0.25000,1.08333,0.00000,0.00000,0.41667,0.00000,0.25000,0.25000,0.00000,0.33333,0.00000,0.16667
100,0.15152,0.06061,0.00000,0.09091,0.09091,0.00000,0.12121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12121
101,1.00000,0.00000,0.00000,0.83333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
102,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
103,0.00000,0.00000,0.00000,0.40000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
105,0.00000,0.00000,0.00000,0.33333,1.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
106,0.30769,0.46154,0.00000,0.23077,0.07692,0.15385,0.00000,0.00000,0.00000,0.00000,0.00000,0.15385,0.00000,0.00000
107,0.69231,0.53846,0.07692,0.46154,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.61538,0.00000,0.38462
108,18.00000,2.50000,2.00000,2.00000,3.50000,3.00000,4.50000,0.50000,0.00000,0.00000,0.00000,1.00000,0.00000,2.50000
109,2.86667,0.26667,0.00000,0.26667,0.66667,1.60000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.13333
110,3.00000,0.46667,0.06667,0.20000,0.26667,0.86667,0.73333,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.20000
111,2.78261,0.13043,0.08696,0.08696,0.00000,0.26087,0.69565,0.00000,0.00000,0.08696,0.00000,0.08696,0.00000,0.56522
