clid	venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode
0	Animal, Inc	-80.0038	40.4381	1	1	2015	308	3
0	Market St. Deli	-80.0034	40.4405	1	1	2014	52	5
1	Carnegie Museum Of Natural History	-79.9505	40.4434	56	33	2014	284	6
1	Starbucks_7	-79.9485	40.4446	37	10	2014	84	3
1	School of Information Sciences	-79.9525	40.4472	34	1	2015	84	3
1	Lulu's Noodles	-79.9488	40.4453	29	10	2015	87	6
1	Cathedral of Learning	-79.9532	40.4443	25	12	2014	87	6
1	The Porch at Schenley	-79.9531	40.4428	24	13	2015	154	0
1	Roberts Engineering Hall	-79.9472	40.4425	20	1	2014	30	1
1	Little Asia	-79.9486	40.4458	20	3	2014	63	2
1	Starbucks_5	-79.9609	40.4376	20	6	2015	188	2
1	Yuva India Indian Eatery	-79.9487	40.4449	18	7	2014	95	6
1	Union Grill	-79.9487	40.4447	17	7	2014	356	6
1	Joe Mama's	-79.9569	40.4415	17	4	2014	137	5
1	Primanti Bros_2	-79.9568	40.4417	15	7	2015	165	6
1	Wellsford Cave	-79.9553	40.4353	14	1	2014	94	0
1	Rose Tea Caf	-79.9487	40.4448	14	1	2014	303	3
1	UPMC Montefiore	-79.9620	40.4411	14	3	2015	39	0
1	Magee-Women's Hospital of UPMC	-79.9607	40.4369	13	4	2015	251	1
1	Hemingway's Cafe	-79.9563	40.4422	12	5	2014	74	0
1	Schenley Plaza	-79.9528	40.4428	12	6	2014	155	4
