venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Runaway Studio	-79.9534	40.4640	npaigex	2015	194	1	6	0.000	Just posted a photo Runaway Studio
Runaway Studio	-79.9534	40.4640	npaigex	2015	194	1	6	0.000	Just posted a photo Runaway Studio
Friendship, PGH	-79.9372	40.4587	BenzaBurgh	2014	143	5	0	0.420	Just posted a photo Friendship, PGH
Friendship, PGH	-79.9372	40.4587	BenzaBurgh	2014	143	5	0	0.420	Just posted a photo Friendship, PGH
Under the 40th Street Bridge	-79.9674	40.4724	saraknoel	2014	158	6	16	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	CatTsavalas	2014	127	3	22	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	saraknoel	2014	158	6	16	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	CatTsavalas	2014	127	3	22	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	saraknoel	2014	158	6	16	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	CatTsavalas	2014	127	3	22	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	saraknoel	2014	158	6	16	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	CatTsavalas	2014	127	3	22	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	saraknoel	2014	158	6	16	0.000	Just posted a photo Under the 40th Street Bridge
Under the 40th Street Bridge	-79.9674	40.4724	CatTsavalas	2014	127	3	22	0.000	Just posted a photo Under the 40th Street Bridge
Kennywood Park_1	-79.8647	40.3871	xnsant_	2015	199	6	18	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	hjl198	2015	204	4	22	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	jcartiff	2015	205	5	1	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	jcartiff	2015	205	5	2	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	hjl198	2015	206	6	3	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	DoriIsRad	2015	144	0	16	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	ryleygill	2015	145	1	15	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	DDSchumacher	2015	156	5	17	0.000	Just posted a photo Kennywood Park
