,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
214,5,1.108,1,0,2,-0.618,0,0,2,1.271,1,0,0,0.000,0,0
215,6,-0.852,0,0,3,-1.130,0,0,5,-0.710,0,0,0,0.000,0,0
216,4,1.367,0,0,4,0.035,0,0,3,-1.396,0,1,0,0.000,0,0
217,16,-3.875,0,1,11,-4.101,0,1,2,0.248,0,0,0,0.000,0,0
218,4,-1.417,0,1,2,-0.657,0,0,4,-0.568,0,0,0,0.000,0,0
219,6,1.384,1,0,4,-0.086,0,0,2,-0.284,0,0,0,0.000,0,0
220,6,-0.991,1,1,4,-0.452,0,0,3,2.805,2,0,0,0.000,0,0
221,4,-0.665,0,1,2,-0.554,0,0,1,0.746,0,0,0,0.000,0,0
222,4,3.916,3,0,5,-0.927,0,0,1,-0.171,0,0,0,0.000,0,0
223,8,-1.119,1,1,2,-0.547,0,0,0,0.000,0,0,0,0.000,0,0
224,6,2.368,2,1,9,-2.286,0,0,3,1.967,1,0,0,0.000,0,0
225,9,-3.808,1,1,3,0.806,1,0,6,-0.008,1,0,0,0.000,0,0
226,5,-3.715,0,2,13,-2.034,0,0,5,-0.039,0,0,1,-0.142,0,0
227,5,2.304,1,0,4,-0.512,0,0,4,0.877,1,0,0,0.000,0,0
228,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
229,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
230,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
231,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
232,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
233,3,-0.260,1,1,10,1.654,1,0,7,0.251,1,0,0,0.000,0,0
234,9,-5.739,0,2,12,0.455,0,0,7,-0.622,0,0,1,-0.707,0,0
235,5,2.067,2,0,18,-0.177,1,0,5,0.984,1,0,1,-0.142,0,0
236,7,6.101,4,0,11,-0.350,1,0,6,1.477,2,1,0,0.000,0,0
237,2,1.548,1,0,9,-2.479,0,0,8,1.356,1,0,0,0.000,0,0
238,3,0.167,1,0,7,-0.925,0,0,9,6.542,3,1,0,0.000,0,0
239,3,0.604,0,0,5,-2.122,0,0,8,0.891,1,0,0,0.000,0,0
240,10,1.888,2,0,12,-1.093,0,0,4,-0.324,0,1,0,0.000,0,0
241,31,5.366,4,0,12,-2.144,0,0,14,-1.903,1,3,0,0.000,0,0
242,23,11.207,8,0,9,-1.457,0,0,12,14.870,8,0,3,0.681,0,0
243,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
244,10,2.685,2,0,12,-0.725,1,0,9,1.501,0,0,0,0.000,0,0
245,10,1.250,2,1,15,-3.457,0,0,6,1.153,1,0,0,0.000,0,0
246,49,7.639,4,2,19,-5.762,0,0,17,7.237,6,2,0,0.000,0,0
247,40,6.714,8,4,17,-3.609,0,0,11,4.557,3,0,0,0.000,0,0
248,70,14.103,11,4,20,-3.593,0,0,13,8.772,5,0,0,0.000,0,0
249,24,3.559,2,0,17,-0.690,1,0,16,2.573,3,1,0,0.000,0,0
250,7,1.183,1,1,13,-0.128,1,0,13,6.425,4,1,0,0.000,0,0
251,6,4.854,3,0,8,-1.606,0,0,5,3.486,3,0,0,0.000,0,0
252,1,0.678,0,0,3,-0.579,0,0,1,-0.707,0,0,0,0.000,0,0
253,2,-2.802,0,2,10,-4.489,0,0,8,0.713,2,1,0,0.000,0,0
254,1,0.976,0,0,2,-0.256,0,0,1,1.271,1,0,0,0.000,0,0
255,2,1.609,1,0,1,-0.128,0,0,3,1.952,1,0,0,0.000,0,0
256,2,-0.284,0,0,7,-3.158,0,0,2,2.262,1,0,0,0.000,0,0
257,1,-0.142,0,0,3,0.596,0,0,6,-0.076,0,0,0,0.000,0,0
258,0,0.000,0,0,8,-1.127,0,0,3,-0.426,0,0,0,0.000,0,0
259,0,0.000,0,0,4,-0.185,0,0,0,0.000,0,0,0,0.000,0,0
260,0,0.000,0,0,6,0.009,0,0,3,0.245,0,0,0,0.000,0,0
261,0,0.000,0,0,2,-0.256,0,0,0,0.000,0,0,0,0.000,0,0
262,2,2.617,2,0,5,-1.394,0,0,10,0.696,2,1,0,0.000,0,0
263,2,1.339,1,0,4,1.409,1,0,5,0.848,0,0,0,0.000,0,0
264,3,0.731,1,0,20,-4.235,0,0,13,3.274,2,0,0,0.000,0,0
265,3,1.012,2,1,12,-2.939,0,0,18,5.252,5,1,0,0.000,0,0
