,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
84,243,-2.269,10.260,11.033,84,-0.746,6.418,6.000,37,2.901,3.788,2.005,46,-2.176,2.369,2.050,20,-1.992,2.135,2.000,16,3.078,1.000,0.000,20,3.997,2.002,1.000,11,-3.020,0.000,1.368
85,309,11.435,18.855,14.577,180,0.370,14.154,10.193,52,7.003,4.000,2.000,60,-5.888,3.001,6.271,17,4.542,3.000,0.368,42,0.311,2.736,1.000,22,0.887,2.000,2.202,15,-1.457,1.368,1.000
86,287,8.657,21.286,15.754,207,-5.063,15.734,16.418,59,-3.361,4.742,5.368,69,-6.711,2.506,2.136,34,-0.913,1.736,0.000,67,-0.026,2.368,3.000,43,0.811,3.138,1.004,19,1.413,2.154,1.000
87,343,-1.840,24.758,15.721,287,-7.220,14.812,18.765,63,-5.557,2.005,4.553,99,-7.012,3.691,7.791,39,-2.424,1.000,3.000,58,0.915,3.000,2.000,53,-0.582,6.052,4.007,37,14.979,10.050,0.000
88,380,16.287,28.560,12.166,283,3.914,24.655,19.161,73,2.095,6.056,3.000,99,-2.877,10.156,9.504,42,5.434,3.000,1.000,32,5.846,5.368,2.000,50,-3.934,3.003,6.207,39,6.545,4.368,0.000
89,357,37.864,27.714,9.142,323,-16.701,23.712,25.716,93,3.545,7.424,6.000,99,-6.884,5.774,3.135,46,3.196,2.736,0.135,47,-0.102,2.000,2.000,51,5.814,6.004,2.754,57,10.804,9.503,2.000
90,358,15.803,25.425,10.938,306,-5.825,19.605,16.692,102,1.684,6.522,6.368,105,0.550,9.160,6.370,52,-0.131,3.000,3.000,29,-1.106,1.000,1.000,55,-2.009,4.135,3.000,35,2.093,4.000,2.000
91,343,7.032,18.389,15.104,266,1.775,20.426,16.019,86,2.249,4.135,4.037,88,0.940,8.050,3.053,63,9.422,8.000,2.000,41,3.249,2.000,1.000,58,6.074,5.411,2.000,28,11.349,5.000,0.000
92,352,4.912,24.006,14.793,318,-7.571,23.320,26.059,87,12.130,8.059,2.000,103,-4.253,6.506,8.000,63,1.925,8.000,4.000,47,7.513,5.000,0.000,47,-16.243,1.000,9.000,32,9.409,5.418,1.007
93,351,11.331,27.693,20.206,286,-3.981,21.425,20.162,105,0.795,6.002,5.240,114,14.786,14.277,3.556,75,1.332,6.418,3.000,42,3.146,4.000,2.000,48,-2.607,6.000,6.202,29,3.092,4.000,2.000
94,314,-1.904,24.555,17.057,260,7.054,27.431,12.456,121,6.887,6.571,4.203,101,24.763,16.050,4.025,186,15.935,20.204,5.154,48,-1.626,3.000,5.000,43,-2.577,4.368,3.000,33,-0.274,1.368,3.000
95,297,17.163,19.923,11.468,263,5.254,22.382,11.050,146,24.860,17.267,3.370,188,31.455,22.527,9.370,302,19.892,28.375,9.436,53,5.057,4.000,1.000,74,8.464,11.003,4.549,40,-0.558,5.000,3.000
96,297,4.356,25.008,13.617,351,-14.667,21.533,27.569,154,-0.446,16.072,10.370,228,31.586,34.647,14.871,276,32.796,39.368,14.000,59,-7.420,2.368,4.000,70,16.102,13.142,3.014,50,4.881,9.153,4.000
97,290,11.551,16.518,9.018,332,-28.046,14.790,23.423,168,14.917,14.419,7.188,189,22.657,28.527,12.162,216,13.618,29.702,8.571,60,2.912,7.000,4.000,81,-0.267,5.368,2.160,38,2.132,2.104,1.007
