,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n
75,198,3.902,16.389,10.074,174,1.375,14.473,14.125,38,6.011,5.000,0.000,22,2.560,2.000,0.000,48,4.415,4.503,0.001,282,0.054,17.451,16.509,136,15.086,14.522,7.374,21,10.313,7.002,0.368,9,-0.864,1.000,1.000,21,3.372,2.000,0.000
76,177,-8.522,7.377,7.050,124,16.999,12.439,4.577,39,0.100,3.000,2.000,14,-2.781,0.000,1.000,29,-2.487,2.000,2.280,261,-8.116,19.195,16.824,109,13.395,13.739,7.368,14,0.404,2.000,2.736,5,0.479,0.050,0.002,17,3.383,3.000,1.000
77,133,-13.251,2.019,7.014,80,1.766,5.272,6.019,18,0.897,0.000,1.000,11,1.001,0.000,0.000,25,1.395,3.002,2.230,180,-2.532,9.978,10.273,64,-2.028,3.368,3.000,8,-2.685,0.000,1.000,3,-4.326,0.000,2.000,9,0.671,1.000,0.000
78,97,-10.698,1.387,1.000,48,-3.001,0.368,1.000,10,-1.316,0.000,1.000,1,-2.589,0.000,1.000,9,-3.260,0.001,2.001,94,-1.279,7.375,6.736,37,-0.064,2.427,1.369,3,0.536,0.000,0.000,1,0.912,0.000,0.000,7,1.257,1.000,0.000
79,74,-6.583,4.018,4.007,22,0.302,0.000,0.000,6,-0.284,0.000,0.000,4,0.000,0.000,0.000,9,-3.804,0.000,2.000,37,-3.322,2.007,2.375,21,-3.581,1.000,2.018,2,-0.194,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
80,49,-6.143,0.135,2.001,28,0.630,0.000,1.000,1,-0.000,0.000,0.000,1,0.589,0.000,0.000,7,5.154,2.001,0.000,25,-3.357,0.000,1.000,8,-1.130,0.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.561,0.000,0.000
81,66,-5.479,2.000,3.000,10,-0.228,0.000,0.000,5,-0.284,0.000,0.000,1,2.340,1.000,0.000,4,-0.459,0.000,0.000,17,2.052,1.000,1.001,9,1.777,1.135,0.002,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000
82,73,-5.390,0.000,1.000,16,2.398,1.050,0.000,6,-1.318,0.000,0.000,4,-0.426,0.000,0.000,15,-0.214,0.000,0.000,27,-3.753,1.007,2.368,6,-4.567,0.000,2.000,2,0.078,0.000,0.000,1,-0.142,0.000,0.000,24,1.598,1.000,0.000
83,161,7.936,11.397,3.419,22,4.836,2.000,0.000,8,-0.426,0.000,0.000,5,0.463,0.007,0.000,24,2.500,5.503,3.000,61,-0.432,6.368,5.203,18,-1.122,0.000,1.368,8,0.063,0.002,0.000,2,-2.941,0.000,1.000,21,-0.317,0.000,1.000
84,243,-2.269,10.260,11.033,37,2.901,3.788,2.005,20,-1.992,2.135,2.000,14,1.793,1.018,0.000,20,3.997,2.002,1.000,84,-0.746,6.418,6.000,46,-2.176,2.369,2.050,11,-3.020,0.000,1.368,4,-0.426,0.000,0.000,16,3.078,1.000,0.000
85,309,11.435,18.855,14.577,52,7.003,4.000,2.000,17,4.542,3.000,0.368,13,3.238,1.106,0.135,22,0.887,2.000,2.202,180,0.370,14.154,10.193,60,-5.888,3.001,6.271,15,-1.457,1.368,1.000,4,1.851,2.000,1.000,42,0.311,2.736,1.000
86,287,8.657,21.286,15.754,59,-3.361,4.742,5.368,34,-0.913,1.736,0.000,9,3.471,2.000,0.000,43,0.811,3.138,1.004,207,-5.063,15.734,16.418,69,-6.711,2.506,2.136,19,1.413,2.154,1.000,7,1.335,0.000,0.000,67,-0.026,2.368,3.000
